,t,mx,my,mz,E_total
230,2.3000025661543057e-08,0.0976013,-9.646378e-07,8.296475e-08,-1.8453052000000002e-16
231,2.3100104740541522e-08,0.09760129,-8.8032925e-07,-6.473454e-07,-1.8453053000000002e-16
232,2.3200133879224423e-08,0.097601205,-3.9321012e-07,-1.1605812e-06,-1.8453042e-16
233,2.330009924085203e-08,0.09760117,2.1409646e-07,-1.2467539e-06,-1.845305e-16
234,2.3400146440364903e-08,0.09760127,8.057874e-07,-8.5323836e-07,-1.845305e-16
235,2.3500043642481663e-08,0.09760129,1.0578646e-06,-1.417149e-07,-1.8453063000000002e-16
236,2.3600140487115193e-08,0.09760123,9.4171816e-07,6.56237e-07,-1.8453057e-16
237,2.3700135661959223e-08,0.09760136,4.6405464e-07,1.1732e-06,-1.8453068000000001e-16
238,2.3800168758771196e-08,0.097601496,-1.6179952e-07,1.2955456e-06,-1.8453056e-16
239,2.3900026149369778e-08,0.0976014,-7.016539e-07,9.161564e-07,-1.8453052000000002e-16
240,2.4000043294666186e-08,0.09760126,-9.844018e-07,2.6419863e-07,-1.8453019000000003e-16
241,2.4100131847238392e-08,0.09760129,-8.950975e-07,-5.1101057e-07,-1.845302e-16
242,2.4200146153523327e-08,0.09760135,-5.260107e-07,-1.0805891e-06,-1.845302e-16
243,2.430004090815961e-08,0.09760135,1.0545196e-07,-1.2792187e-06,-1.8453028e-16
244,2.440003142034845e-08,0.09760114,6.976172e-07,-9.786676e-07,-1.8453043e-16
245,2.4500161230792592e-08,0.0976011,1.0836239e-06,-2.944916e-07,-1.8453043e-16
246,2.460010958260752e-08,0.09760129,9.965402e-07,4.8909254e-07,-1.8453044e-16
247,2.470001653594452e-08,0.097601384,5.948173e-07,1.1062921e-06,-1.8453051000000002e-16
248,2.4800118743542185e-08,0.0976014,-3.4727748e-08,1.2855405e-06,-1.8453024000000002e-16
249,2.490008844494209e-08,0.09760136,-5.700975e-07,1.0436352e-06,-1.845303e-16
250,2.500016248610077e-08,0.09760144,-9.128807e-07,4.1019192e-07,-1.8453031e-16
251,2.5100072649910768e-08,0.097601384,-9.554059e-07,-3.2273036e-07,-1.845302e-16
252,2.520005559335089e-08,0.097601265,-6.243052e-07,-9.900558e-07,-1.8453026000000002e-16
253,2.530008455064749e-08,0.09760124,-5.371181e-08,-1.2650921e-06,-1.8453036000000002e-16
254,2.540007184328484e-08,0.09760125,6.057492e-07,-1.0851119e-06,-1.8453035000000002e-16
255,2.5500140549292014e-08,0.09760114,9.859314e-07,-4.7072555e-07,-1.8453042e-16
256,2.5600030183306083e-08,0.09760117,1.0606359e-06,3.164048e-07,-1.8453048000000002e-16
257,2.5700120211335588e-08,0.09760134,6.9479046e-07,9.818134e-07,-1.8453051000000002e-16
258,2.5800156201559384e-08,0.09760136,1.3937391e-07,1.2963327e-06,-1.8453026000000002e-16
259,2.5900009061149836e-08,0.09760132,-4.7157624e-07,1.1360127e-06,-1.8453016e-16
260,2.6000055934775005e-08,0.09760131,-8.802603e-07,6.0919524e-07,-1.8453002e-16
261,2.6100039203191962e-08,0.09760142,-1.0014737e-06,-1.655265e-07,-1.845299e-16
262,2.62001698508218e-08,0.09760145,-7.530757e-07,-8.518234e-07,-1.8453e-16
263,2.6300131744080122e-08,0.097601265,-2.0489689e-07,-1.2640418e-06,-1.8453005e-16
264,2.6400125534974447e-08,0.09760119,4.448691e-07,-1.1586927e-06,-1.8453015e-16
265,2.6500034952499574e-08,0.09760123,9.4587693e-07,-6.382083e-07,-1.8453022000000002e-16
266,2.6600133092834863e-08,0.09760121,1.0579971e-06,1.5257667e-07,-1.8453023000000002e-16
267,2.67001504141804e-08,0.09760119,8.0370694e-07,8.6700567e-07,-1.8453018e-16
268,2.6800076068746646e-08,0.09760124,2.467804e-07,1.2693662e-06,-1.8453018e-16
269,2.690011056243219e-08,0.09760139,-3.3669934e-07,1.2226866e-06,-1.8453014e-16
270,2.70000305851535e-08,0.09760139,-8.271821e-07,7.4446626e-07,-1.845302e-16
271,2.7100163353991053e-08,0.0976014,-9.883107e-07,3.0553306e-08,-1.8453019000000003e-16
272,2.7200037846343787e-08,0.09760144,-8.472012e-07,-7.1931146e-07,-1.8453022000000002e-16
273,2.7300044483451427e-08,0.097601414,-3.3676858e-07,-1.1850212e-06,-1.8453026000000002e-16
274,2.7400004873419925e-08,0.097601175,3.1456088e-07,-1.2309358e-06,-1.8453042e-16
275,2.7500080426004693e-08,0.09760114,8.6004496e-07,-7.650934e-07,-1.845304e-16
276,2.7600001147423232e-08,0.09760122,1.0755623e-06,-3.9538243e-08,-1.8453019000000003e-16
277,2.770014575063308e-08,0.09760126,8.702309e-07,7.2221354e-07,-1.8453015e-16
278,2.7800087254450433e-08,0.09760119,4.277046e-07,1.1995032e-06,-1.8453022000000002e-16
279,2.7900008037799773e-08,0.09760115,-1.8745523e-07,1.276551e-06,-1.8452995000000002e-16
280,2.8000020974589256e-08,0.09760132,-6.9222415e-07,9.0559837e-07,-1.8452997000000002e-16
281,2.81001151001282e-08,0.09760143,-9.988238e-07,2.1478796e-07,-1.8452998000000002e-16
282,2.8200106069162452e-08,0.09760144,-8.995214e-07,-5.535536e-07,-1.8452999000000001e-16
